Mon Dec  2 07:10:02 EST 2013, 20.82, %O2
Mon Dec  2 07:11:01 EST 2013, 20.79, %O2
Mon Dec  2 07:12:02 EST 2013, 20.83, %O2
Mon Dec  2 07:13:01 EST 2013, 20.8, %O2
Mon Dec  2 07:14:02 EST 2013, 20.8, %O2
Mon Dec  2 07:15:01 EST 2013, 20.82, %O2
Mon Dec  2 07:16:02 EST 2013, 20.82, %O2
Mon Dec  2 07:17:01 EST 2013, 20.82, %O2
Mon Dec  2 07:18:02 EST 2013, 20.82, %O2
Mon Dec  2 07:19:01 EST 2013, 20.82, %O2
Mon Dec  2 07:20:02 EST 2013, 20.81, %O2
Mon Dec  2 07:21:01 EST 2013, 20.79, %O2
Mon Dec  2 07:22:01 EST 2013, 20.81, %O2
Mon Dec  2 07:23:02 EST 2013, 20.8, %O2
Mon Dec  2 07:24:01 EST 2013, 20.8, %O2
Mon Dec  2 07:25:02 EST 2013, 20.81, %O2
Mon Dec  2 07:26:01 EST 2013, 20.81, %O2
Mon Dec  2 07:27:02 EST 2013, 20.78, %O2
Mon Dec  2 07:28:01 EST 2013, 20.82, %O2
Mon Dec  2 07:29:02 EST 2013, 20.8, %O2
Mon Dec  2 07:30:02 EST 2013, 20.84, %O2
Mon Dec  2 07:31:01 EST 2013, 20.8, %O2
Mon Dec  2 07:32:02 EST 2013, 20.81, %O2
Mon Dec  2 07:33:01 EST 2013, 20.81, %O2
Mon Dec  2 07:34:02 EST 2013, 20.82, %O2
Mon Dec  2 07:35:01 EST 2013, 20.82, %O2
Mon Dec  2 07:36:02 EST 2013, 20.83, %O2
Mon Dec  2 07:37:02 EST 2013, 20.8, %O2
Mon Dec  2 07:38:01 EST 2013, 20.8, %O2
Mon Dec  2 07:39:02 EST 2013, 20.8, %O2
Mon Dec  2 07:40:02 EST 2013, 20.8, %O2
Mon Dec  2 07:41:01 EST 2013, 20.82, %O2
Mon Dec  2 07:42:02 EST 2013, 20.8, %O2
Mon Dec  2 07:43:01 EST 2013, 20.8, %O2
Mon Dec  2 07:44:02 EST 2013, 20.8, %O2
Mon Dec  2 07:45:01 EST 2013, 20.79, %O2
Mon Dec  2 07:46:01 EST 2013, 20.8, %O2
Mon Dec  2 07:47:02 EST 2013, 20.85, %O2
Mon Dec  2 07:48:01 EST 2013, 20.83, %O2
Mon Dec  2 07:49:02 EST 2013, 20.82, %O2
Mon Dec  2 07:50:01 EST 2013, 20.81, %O2
Mon Dec  2 07:51:02 EST 2013, 20.82, %O2
Mon Dec  2 07:52:01 EST 2013, 20.82, %O2
Mon Dec  2 07:53:02 EST 2013, 20.79, %O2
Mon Dec  2 07:54:01 EST 2013, 20.8, %O2
Mon Dec  2 07:55:02 EST 2013, 20.81, %O2
Mon Dec  2 07:56:02 EST 2013, 20.8, %O2
Mon Dec  2 07:57:01 EST 2013, 20.8, %O2
Mon Dec  2 07:58:02 EST 2013, 20.78, %O2
Mon Dec  2 07:59:01 EST 2013, 20.79, %O2
Mon Dec  2 08:00:02 EST 2013, 20.77, %O2
Mon Dec  2 08:01:02 EST 2013, 20.8, %O2
Mon Dec  2 08:02:01 EST 2013, 20.78, %O2
Mon Dec  2 08:03:02 EST 2013, 20.79, %O2
Mon Dec  2 08:04:01 EST 2013, 20.79, %O2
Mon Dec  2 08:05:02 EST 2013, 20.8, %O2
Mon Dec  2 08:06:01 EST 2013, 20.78, %O2
Mon Dec  2 08:07:02 EST 2013, 20.8, %O2
Mon Dec  2 08:08:01 EST 2013, 20.78, %O2
Mon Dec  2 08:09:02 EST 2013, 20.8, %O2
Mon Dec  2 08:10:02 EST 2013, 20.78, %O2
Mon Dec  2 08:11:01 EST 2013, 20.76, %O2
Mon Dec  2 08:12:02 EST 2013, 20.78, %O2
Mon Dec  2 08:13:02 EST 2013, 20.78, %O2
Mon Dec  2 08:14:01 EST 2013, 20.79, %O2
Mon Dec  2 08:15:02 EST 2013, 20.77, %O2
Mon Dec  2 08:16:01 EST 2013, 20.8, %O2
Mon Dec  2 08:17:02 EST 2013, 20.76, %O2
Mon Dec  2 08:18:02 EST 2013, 20.78, %O2
Mon Dec  2 08:19:01 EST 2013, 20.78, %O2
Mon Dec  2 08:20:02 EST 2013, 20.78, %O2
Mon Dec  2 08:21:01 EST 2013, 20.78, %O2
Mon Dec  2 08:22:02 EST 2013, 20.78, %O2
Mon Dec  2 08:23:01 EST 2013, 20.78, %O2
Mon Dec  2 08:24:02 EST 2013, 20.76, %O2
Mon Dec  2 08:25:01 EST 2013, 20.78, %O2
Mon Dec  2 08:26:02 EST 2013, 20.78, %O2
Mon Dec  2 08:27:01 EST 2013, 20.77, %O2
Mon Dec  2 08:28:02 EST 2013, 20.75, %O2
Mon Dec  2 08:29:01 EST 2013, 20.77, %O2
Mon Dec  2 08:30:01 EST 2013, 20.75, %O2
Mon Dec  2 08:31:01 EST 2013, 20.77, %O2
Mon Dec  2 08:32:01 EST 2013, 20.75, %O2
Mon Dec  2 08:33:01 EST 2013, 20.76, %O2
Mon Dec  2 08:34:01 EST 2013, 20.78, %O2
Mon Dec  2 08:35:02 EST 2013, 20.75, %O2
Mon Dec  2 08:36:01 EST 2013, 20.74, %O2
Mon Dec  2 08:37:02 EST 2013, 20.74, %O2
Mon Dec  2 08:38:01 EST 2013, 20.76, %O2
Mon Dec  2 08:39:02 EST 2013, 20.76, %O2
Mon Dec  2 08:40:02 EST 2013, 20.75, %O2
Mon Dec  2 08:41:01 EST 2013, 20.77, %O2
Mon Dec  2 08:42:02 EST 2013, 20.76, %O2
Mon Dec  2 08:43:01 EST 2013, 20.76, %O2
Mon Dec  2 08:44:02 EST 2013, 20.75, %O2
Mon Dec  2 08:45:01 EST 2013, 20.76, %O2
Mon Dec  2 08:46:02 EST 2013, 20.76, %O2
Mon Dec  2 08:47:01 EST 2013, 20.76, %O2
Mon Dec  2 08:48:02 EST 2013, 20.76, %O2
Mon Dec  2 08:49:01 EST 2013, 20.77, %O2
Mon Dec  2 08:50:02 EST 2013, 20.78, %O2
Mon Dec  2 08:51:02 EST 2013, 20.76, %O2
Mon Dec  2 08:52:01 EST 2013, 20.78, %O2
Mon Dec  2 08:53:02 EST 2013, 20.74, %O2
Mon Dec  2 08:54:01 EST 2013, 20.75, %O2
Mon Dec  2 08:55:02 EST 2013, 20.74, %O2
Mon Dec  2 08:56:01 EST 2013, 20.74, %O2
Mon Dec  2 08:57:02 EST 2013, 20.77, %O2
Mon Dec  2 08:58:01 EST 2013, 20.77, %O2
Mon Dec  2 08:59:02 EST 2013, 20.75, %O2
Mon Dec  2 09:00:01 EST 2013, 20.74, %O2
Mon Dec  2 09:01:02 EST 2013, 20.76, %O2
Mon Dec  2 09:02:01 EST 2013, 20.73, %O2
Mon Dec  2 09:03:01 EST 2013, 20.74, %O2
Mon Dec  2 09:04:02 EST 2013, 20.75, %O2
Mon Dec  2 09:05:01 EST 2013, 20.77, %O2
Mon Dec  2 09:06:02 EST 2013, 20.75, %O2
Mon Dec  2 09:07:01 EST 2013, 20.76, %O2
Mon Dec  2 09:08:02 EST 2013, 20.76, %O2
Mon Dec  2 09:09:02 EST 2013, 20.75, %O2
Mon Dec  2 09:10:01 EST 2013, 20.77, %O2
Mon Dec  2 09:11:02 EST 2013, 20.75, %O2
Mon Dec  2 09:12:01 EST 2013, 20.76, %O2
Mon Dec  2 09:13:02 EST 2013, 20.77, %O2
Mon Dec  2 09:14:01 EST 2013, 20.75, %O2
Mon Dec  2 09:15:02 EST 2013, 20.72, %O2
